Company,ActiveBrand,Headquarters,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Lowe's,Y,NC,"290,000",1946,Marvin Ellison,LOW,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,9,"72,148.00",2020,https://www.lowes.com/,OH DRC Spending,n/a,See corrections source,FactSet,n/a,30
FedEx,Y,TN,"400,000",1971,Frederick W. Smith,FDX,Tier 1b - Publicly Traded - Other,Transportation,Other,n/a,Y,7,"69,700.00",2019,https://www.fedex.com/,TDCJ Spending,n/a,See corrections source,FactSet,n/a,31
Metropolitan Life Insurance Company (MetLife),Y,NY,"49,000",1999,Michel Khalaf,MET,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,10,"69,620.00",2019,https://www.metlife.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,32
Marubeni,Y,Japan,"4,458",1858,Masumi Kakinoki,8002-JP,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,9,"68,807.30",2019,https://www.marubeni.com/,See Helena Chemical,n/a,n/a,FactSet,n/a,33
PepsiCo,Y,NY,"263,000",1898,Ramon Laguarta,PEP,Tier 1b - Publicly Traded - Other,Food & Commissary,Vending Machines,n/a,n/a,7,"67,161.00",2019,http://www.pepsico.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,34
ADM Alliance Nutrition,Y,IL,"31,300",1902,Juan R. Luciano,ADM,Tier 1b - Publicly Traded - Other,Food & Commissary,Prison Food,n/a,n/a,9,"64,656.00",2019,https://www.adm.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,35
Roche,Y,Switzerland,"94,442",1896,Severin Schwan,ROG-CH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,Y,n/a,9,"63,435.70",2019,https://www.roche.com/,See Genentech,n/a,n/a,FactSet,https://www.nytimes.com/2009/03/13/business/worldbusiness/13drugs.html,36
Sysco,Y,TX,"66,500",1969,Kevin Hourican,SYY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,n/a,n/a,12,"60,113.90",2019,https://www.sysco.com/,NYS DOCCS Spending,n/a,n/a,FactSet,http://www.lansingstar.com/news-archive/6499-corruption-found-in-prison-food-operations,37
Lockheed Martin,Y,MD,"100,000",n/a,Marillyn A. Hewson,LMT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,Y,n/a,15,"59,812.00",2019,https://www.lockheedmartin.com/en-us/index.html,n/a,https://truthout.org/articles/the-booming-business-of-border-exclusion/,n/a,FactSet,n/a,38
Hewlett Packard,Y,CA,"66,000",1939,Meg Whitman,HPQ,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,10,"58,756.00",2019,https://www.hpe.com/us/en/home.html,FL DOC Spending,https://www.theverge.com/2018/6/20/17485238/ice-contract-microsoft-motorola-dell-hp-enterprise-deportation,n/a,FactSet,https://cdn.cnetcontent.com/41/fa/41fa4cca-5519-4fc8-912a-d107cac65333.pdf,39
HSBC,Y,United Kingdom,"235,000",1850,Noel Quinn,HSBC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"55,409.00",2019,https://www.us.hsbc.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,40
Energy Transfer Partners,Y,TX,"8,494",2017,Kelcy Warren,ETP-PD,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"54,032.00",2019,http://www.energytransfer.com/,TDCJ Spending,n/a,n/a,FactSet,http://ir.energytransfer.com/phoenix.zhtml?c=106094&p=irol-about,41
Caterpillar,Y,IL,"98,400",1892,"D. James Umpleby, III",CAT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,9,"53,800.00",2019,https://www.caterpillar.com/,OH DRC Spending,n/a,n/a,FactSet,n/a,42
Cisco Systems,Y,CA,"72,900",1984,Chuck Robbins,CSCO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,9,"51,904.00",2019,https://www.cisco.com/,http://www.cisco.com/c/en/us/solutions/industries/government/judicial-corrections.html,n/a,n/a,FactSet,n/a,43
TokioMarine,Y,Japan,"39,191",1879,Satoru Komiya,TKOMY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Bail & Surety,n/a,n/a,12,"49,802.00",2019,https://tmamerica.com/,https://www.aclu.org/report/selling-our-freedom-how-insurance-corporations-have-taken-over-our-bail-system,n/a,n/a,FactSet,n/a,44
BNP Paribas,Y,France,"189,000",2000,Jean-Laurent Bonnafé,BNP-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",Y,n/a,9,"48,385.50",2019,https://group.bnpparibas/en/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,https://www.greenamerica.org/hidden-workers-fighting-change/sale-now-prison-labor,FactSet,n/a,45
Novartis,Y,Switzerland,"121,597",1996,Vasant Narasimhan,NVS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"47,445.00",2019,https://www.novartis.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,46
Hill International,Y,PA,"2,664",1976,Raouf S. Ghali,HIL,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,13,"47,007.00",2019,https://www.hillintl.com/,https://www.constructiondive.com/news/nyc-awards-aecom-hill-jv-contract-to-manage-87b-rikers-replacement/556115/,n/a,n/a,n/a,n/a,47
Deloitte Global,Y,UK,"312,000",1845,Punit Renjen,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Operations & Management,"Procurement, Contracting, & Other Admin Services",Y,n/a,"n/a,","46,200.00",2019,https://www2.deloitte.com/us/en.html,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,48
American Airlines,Y,TX,"126,600",1930,Doug Parker,AAL,Tier 1b - Publicly Traded - Other,Transportation,Other,n/a,n/a,9,"45,768.00",2019,https://www.aa.com/homePage.do,OH DRC Spending,n/a,n/a,FactSet,n/a,49
Charter Communications (dba Spectrum),Y,CT,"94,800",1993,Thomas Rutledge,CHTR,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,7,"45,764.00",2019,http://ir.charter.com,See Time Warner Cable,n/a,n/a,FactSet,https://www.wsj.com/articles/charter-communications-completes-55-billion-acquisition-of-time-warner-cable-1463581387,50
ThyssenKrupp,Y,Germany,"161,096",1811,Martina Merz,TKA-DE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Construction,n/a,n/a,9,"45,563.60",2019,https://www.thyssenkrupp.com/,See ThyssenKrupp Elevator,n/a,n/a,FactSet,n/a,51
Vista Equity Partners,Y,TX,250,2000,Robert F. Smith,n/a,Tier 2 - Investment Firm-Owned,Investor,Other,n/a,n/a,10,"45,000.00",2018,https://www.vistaequitypartners.com/,See Granicus,n/a,n/a,https://2018.vistaequitypartners.com/,n/a,52
GlaxoSmithKline,Y,United Kingdom,"95,490",1924,Emma Walmsley,GSK,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"43,821.10",2019,https://www.gsk.com/,https://facts.fldfs.com/Search/ContractDetail.aspx?AgencyId=700000&ContractId=SA563&Tab=1,n/a,n/a,FactSet,n/a,53
Bayer,Y,Germany,"103,000",1863,Werner Baumann,BAYZF,Tier 1b - Publicly Traded - Other,Healthcare,Other,n/a,n/a,7,"43,545.00",2019,https://www.bayer.com/,See Monsanto,n/a,n/a,FactSet,n/a,54
Nationwide Mutual Insurance Company,Y,OH,"28,141",1925,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,12,"43,300.00",2018,https://www.nationwide.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,55
Accenture,Y,PA,"482,000",1951,Julie Sweet,ACN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,8,"43,215.00",2019,https://www.accenture.com/,https://www.accenture.com/us-en/insight-public-safety-innovation-speed,https://abcnews.go.com/ABC_Univision/Politics/15-companies-profit-border-security/story?id=18957304,n/a,FactSet,https://www.majorcitieschiefs.com/sponsors.php,56
Tyson Foods,Y,AR,"122,000",1935,Noel W. White,TSN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,n/a,Y,9,"42,405.00",2019,https://www.tysonfoods.com/,See AdvancePierre,n/a,https://www.themarshallproject.org/2020/03/19/north-carolina-prisoners-still-working-in-chicken-plants-despite-coronavirus-fears,FactSet,https://www.tysonfoods.com/our-brands,57
Morgan Stanley,Y,NY,"57,633",1935,James P. Gorman,MS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"41,419.00",2019,http://www.morganstanley.com/,http://www.truth-out.org/news/item/33286-private-prisons-just-bit-players-in-mass-incarceration,n/a,n/a,FactSet,n/a,58
PriceWaterhouseCoopers ,Y,NJ,"276,005",2008,Robert E. Moritz,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Operations & Management,"Procurement, Contracting, & Other Admin Services",Y,n/a,"n/a,","41,300.00",2018,https://www.pwc.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,59
T-Mobile,Y,WA,"51,000",1994,n/a,TMUS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,8,"40,604.00",2017,https://www.t-mobile.com/,https://www.apcointl.org/commercial-community/corporate-partner-program.html,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/tmus12312017form10-k.htm#sA62567E2CABB51399A1EDD97DF836A81,https://www.wsj.com/articles/SB964424432543482052,60
Iberdrola,Y,Spain,"34,078",1840,Ignacio Galán,IBE-ES,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"39,533.30",2019,https://www.iberdrola.com/,"See Avangrid, New York State Electric and Gas (NYSEG)",n/a,n/a,FactSet,https://pitchbook.com/profiles/company/25328-35,61
Oracle,Y,CA,"137,000",1977,Safra A. Catz,ORCL,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"39,526.00",2019,https://www.oracle.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,62
General Dynamics,Y,VA,"98,600",1952,Phebe Novakovic,GD,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Y,n/a,15,"39,350.00",2019,https://www.gd.com/,See General Dynamics Mission Systems,https://www.thenation.com/article/private-contractors-enable-trumps-cruelties-border/,n/a,FactSet,n/a,63
Power Financial Corp,Y,Canada,,1984,n/a,POW-CA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,8,"38,406.10",2017,https://www.powerfinancial.com/,"See Putnam Investment Management, Great-West Lifeco",n/a,n/a,https://www.powerfinancial.com/media/uploads/reports/quarter/pfc_2017_q4_and_ye_eng.pdf,https://www.powerfinancial.com/en/companies/organization-chart/,64
Enbridge,Y,Canada,"12,700",1949,Al Monaco,ENB,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"37,769.40",2019,https://www.enbridge.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,65
Coca Cola,Y,GA,"61,800",1892,James Quincey,KO,Tier 1b - Publicly Traded - Other,Food & Commissary,Commissary,n/a,n/a,8,"37,280.00",2019,http://www.coca-cola.com/global/,TDCJ Spending,n/a,n/a,FactSet,n/a,66
Honeywell,Y,NJ,"131,000",1885,Darius Adamczk,HON,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,n/a,n/a,12,"36,709.00",2019,https://www.honeywell.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,67
Goldman Sachs,Y,NY,"36,600",1869,David Solomon,GS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"36,546.00",2019,http://www.goldmansachs.com/,https://www.datocms-assets.com/1994/1510262493-goldman-sachs-profile_8-24-17.pdf,n/a,n/a,FactSet,n/a,68
Ernst & Young,Y,UK,"284,018",1989,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Operations & Management,"Procurement, Contracting, & Other Admin Services",Y,n/a,"n/a,","36,400.00",2019,https://www.ey.com/en_gl,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,69
Great-West Lifeco,Y,Canada,"23,300",1891,n/a,GWO.TO-CA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,8,"36,176.90",2017,https://www.greatwestlifeco.com/,See Putnam Investment Management,n/a,n/a,https://www.powercorporation.com/media/uploads/reports/quarter/pcc_2017_q4_and_ye_eng.pdf,https://www.businesswire.com/news/home/20070201005533/en/Putnam-Investments-Acquired-Power-Financial-Corporation-Subsidiary,70
Allstate,Y,IL,"79,000",1931,Thomas J. Wilson,ALL,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,11,"35,419.00",2019,https://www.allstate.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,71
Mars,Y,VA,"125,000",1893,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Food & Commissary,Commissary,n/a,n/a,"n/a,","35,000.00",2018,https://www.mars.com/global,https://aja.multiview.com/,n/a,n/a,PrivCo (www.privco.com),n/a,72
Deere & Company,Y,IL,"60,500",1837,John May,DE,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,9,"34,886.00",2019,https://www.deere.com/,OH DRC Spending,n/a,n/a,FactSet,n/a,73
New York Life Insurance Company,Y,NY,"11,388",1845,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,12,"34,499.00",2019,http://www.newyorklife.com,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,74
Exelon,Y,IL,"34,621",1999,Christopher M. Crane,EXC,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"34,435.00",2019,http://www.exeloncorp.com/,See Cogenex,n/a,n/a,FactSet,https://www.bizjournals.com/boston/stories/2005/04/18/daily3.html,75
Northrop Grumman,Y,VA,"70,000",1939,Kathy Warden,NOC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,12,"33,841.00",2019,http://www.northropgrumman.com/,https://www.prisonfellowship.org/2010/07/second-chances-with-northrop-grumman-shipbuilding/,n/a,See corrections source,FactSet,http://www.ijis.org/?page=sustaining_members,76
