Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
Cambridge International Systems,Y,VA,360,1994,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Data & Information Systems,Immigration Data Systems,Y,n/a,"n/a,",n/a,$58.0,2018,N,n/a,n/a,https://cbridgeinc.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,PrivCo (www.privco.com),n/a
Cambro,Y,AZ,,1951,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.cambro.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,n/a,n/a,n/a,n/a
Camcor,Y,NC,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.camcor.com/,https://aja.multiview.com/,n/a,n/a,n/a,n/a
Camela Medical,Y,MO,,1983,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003725-T.pdf,n/a,n/a,n/a,https://www.linkedin.com/company/camela-medical-group/
Cannae Holdings,Y,NV,n/a,n/a,n/a,Rick Massey,n/a,n/a,CNNE,Tier 1b - Publicly Traded - Other,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,8,n/a,"$1,070.0",2019,N,n/a,n/a,https://www.cannaeholdings.com/,See Dun & Bradstreet,n/a,n/a,FactSet,n/a
Cannon Design,Y,NY,"1,100",1945,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,"n/a,",n/a,$229.0,2018,N,n/a,n/a,https://www.cannondesign.com/,http://gracehebert.com/files/news/Correctional_News_2015_Architect_List.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Canon,Y,Japan,"197,673",1937,n/a,Fujio Mitarai,n/a,n/a,CAJ,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,Y,n/a,9,n/a,"$33,064.6",2019,N,n/a,"Operates using various specialty and local subsidiaries, including Canon Solutions America; Financials converted from JPY",http://global.canon/en/index.html,TDCJ Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,https://www.macrotrends.net/stocks/charts/CAJ/canon/revenue
Canon Financial Services,Y,NJ,,1979,n/a,n/a,n/a,Canon,CAJ,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,n/a,n/a,9,n/a,,,N,n/a,Created as specialty subsidiary,https://www.cfs.canon.com/,TDCJ Spending,n/a,n/a,n/a,n/a
Canteen Vending Services,Y,NC,,1929,1994,n/a,n/a,"Compass Group, The",CPG-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,Food & Commissary,Commissary,n/a,n/a,10,n/a,,,N,n/a,Acquired by Compass Group in 1994 for $450 M,https://www.canteen.com,http://www.dc.state.fl.us/business/contracts/12-DC-8388-b.pdf,n/a,n/a,n/a,http://articles.latimes.com/1994-04-28/business/fi-51552_1_food-service
CAPDATA (dba Capital Datacorp),Y,CA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.capdata.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
Cape Cod Systems,Y,MA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.capecodsystemscompany.com/,"https://www.capecodsystemscompany.com/store/correctional-products,category.asp",n/a,n/a,n/a,n/a
Capgemini,Y,Switzerland,"200,000",1967,n/a,Paul Hermelin,n/a,n/a,CAP-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,Y,n/a,9,n/a,"$15,324.9",2019,N,n/a,Financials converted from EUR,https://www.capgemini.com/,https://www.capgemini.com/service/transform-police-t-police/public-security/,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a
Capital Transportation,Y,OH,,1997,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,n/a,n/a,Y,"n/a,",n/a,,,N,n/a,n/a,http://capital-trans.com/,https://procure.ohio.gov/OrigContract/OT900616_OC.pdf,n/a,See corrections source,n/a,n/a
CapitalG,Y,CA,,2013,n/a,Mor Goldenberg,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,9,n/a,,,N,n/a,n/a,https://capitalg.com/,See Colibra ,n/a,n/a,n/a,n/a
Capitol Elevator,Y,CA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.capitolelevator.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
CAPRI Optics,Y,NY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,,,N,n/a,n/a,http://www.caprioptics.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,n/a,n/a
Captira Analytical,Y,NY,19,2005,n/a,Steven Sjoblad,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Community Corrections,"Probation, Parole, & Other Supervision",Financial Services,Agency Payment Processing,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://captira.com,See website,n/a,n/a,n/a,http://www.referenceusa.com/UsBusiness/Detail/Tagged/4a40984744ea4fd59d3759aa7c1c6d2e?recordId=415356589
Carahsoft Technology,Y,VA,"1,282",2004,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,IT & Communcations Infrastructure & Service,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,"n/a,",n/a,"$5,350.0",2018,N,n/a,n/a,http://www.carahsoft.com/,FL DOC Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a
Carbone Joy Consulting,Y,CA,,2017,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Other,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.carbonejoy.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
Carbyne,Y,Israel,,2014,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://carbyne911.com/,https://www.apcointl.org/commercial-community/corporate-partner-program.html,n/a,n/a,n/a,n/a
Cardinal Health,Y,OH,"50,000",1971,n/a,Michael C. Kaugmann,n/a,n/a,CAH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,Healthcare,Other,n/a,n/a,9,n/a,"$145,534.0",2019,N,n/a,n/a,http://www.cardinalhealth.com/en.html,NYS DOCCS Spending,n/a,n/a,FactSet,n/a
Care Supplies,Y,NY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://caresup.com/,NYS DOCCS Spending,n/a,n/a,n/a,n/a
Care-A-Cell,Y,KY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Care Packages,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,https://careacell.com/,See website,n/a,n/a,n/a,n/a
CareClix,Y,VA,,2006,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,Telemedicine,http://www.careclix.com/,https://careclix.com/correctional-care,n/a,n/a,n/a,n/a
CareerStaff,Y,TX,,1989,2012,n/a,n/a,Genesis Healthcare,GEN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,Personnel,Third Party Staffing,n/a,n/a,10,n/a,,,N,n/a,Acquired by Genesis as part of Sun Healthcare in 2012 for $217 M; Telemedicine,https://www.careerstaff.com/,See Procare One,n/a,n/a,n/a,n/a
CareWorks Managed Care Service,Y,TN,,1985,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Healthcare,Medical Records Systems,Data & Information Systems,Medical Records Systems,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.careworksmcs.com/,See Wellcomp Managed Care Services,n/a,n/a,n/a,n/a
"Carey Group, The",Y,FL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://thecareygroup.com/,http://thecareygroup.com/our-work,n/a,n/a,n/a,n/a
Cargill,Y,MN,"160,000",1865,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,"$113,500.0",2019,N,n/a,n/a,https://www.cargill.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a
Carlisle and Finch,Y,OH,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://carlislefinch.com/,http://www.4specs.com/s/11/11-1900.html,n/a,n/a,n/a,n/a
"Carlyle Group, The",Y,D.C.,"1,775",1987,n/a,Kewsong Lee,n/a,n/a,CG,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Other,n/a,n/a,n/a,n/a,10,n/a,"$2,702.5",2019,N,n/a,n/a,https://www.carlyle.com/,See Novetta Solutions,n/a,n/a,FactSet,https://www.carlyle.com/our-business/portfolio-investments
Carmines Bakery (dba The Father's Table),Y,FL,830,1998,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,$64.0,2018,N,n/a,n/a,http://www.thefatherstable.com,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,n/a,n/a,PrivCo (www.privco.com),n/a
Carrier Johnson + Culture,Y,CA,98,1977,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,"n/a,",n/a,$18.0,2018,N,n/a,n/a,http://www.carrierjohnson.com/,http://gracehebert.com/files/news/Correctional_News_2015_Architect_List.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Carter Global Lee Companies (CGL),Y,GA,,1993,2012,n/a,n/a,Hunt Companies,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,Acquired by Hunt Companies in 2012,http://www.cglcompanies.com,https://www.cglcompanies.com/projects,n/a,n/a,n/a,http://www.huntcompanies.com/news/hunt-companies-acquires-carter-goble-lee-1
Casco,Y,OH,,1959,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://cascomfg.com/,https://cascomfg.com/product/c-matt-comfort-mattress/,n/a,n/a,n/a,n/a
Casella Waste Management,Y,VT,"2,000",1975,n/a,John W. Casella,n/a,n/a,CWST,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,9,n/a,$743.3,2019,N,n/a,n/a,https://www.casella.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a
Cashless Systems Inc (CSi),Y,NC,,1992,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,Financial Services,Other,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.cashlesssystems.com/,See website,n/a,n/a,n/a,n/a
Cason Enterprises of North Florida    ,Y,FL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,FL DOC Spending,n/a,n/a,n/a,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=820474
Castell (dba TexCorr),Y,TX,,1996,n/a,n/a,n/a,International Paper Co,IP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,9,n/a,,,N,n/a,Acquisition history unknown,http://www.texcorr.com/,TDCJ Spending,n/a,See corrections source,n/a,n/a
Casters of Amarillo,Y,TX,,1974,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.casterama.com/,TDCJ Spending,n/a,n/a,n/a,n/a
Caterpillar,Y,IL,"98,400",1892,n/a,"D. James Umpleby, III",n/a,n/a,CAT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,9,n/a,"$53,800.0",2019,N,n/a,"Operates using various local subsidiaries, including Ohio Cat",https://www.caterpillar.com/,OH DRC Spending,n/a,n/a,FactSet,n/a
CBI Associates (dba Caldwell Brokerage),Y,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,TDCJ Spending,n/a,n/a,n/a,n/a
CBM Food Services,Y,SD,"1,000",1995,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.cbmmanagedservices.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,n/a,n/a
CBORD,Y,NY,,1975,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Other,Data & Information Systems,Corrections Data Systems,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.cbord.com/,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,n/a,n/a,n/a,n/a
CBRE,Y,CA,"80,000",1906,n/a,Robert E. Sulentic,n/a,n/a,CBRE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,n/a,n/a,11,Y,"$23,894.1",2019,N,n/a,n/a,https://www.cbre.com/,FL DOC Spending,n/a,n/a,FactSet,n/a
CC Vending,Y,NY,80,1989,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Vending Machines,n/a,n/a,n/a,n/a,"n/a,",n/a,$12.0,2018,N,n/a,n/a,http://www.ccvend-usa.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a
CCCNF-Lake Butler,Y,FL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,FL DOC Spending,n/a,n/a,n/a,http://origin-states.politico.com.s3-website-us-east-1.amazonaws.com/files/Centurion%20Contract.pdf
CDI Corporation (dba CDI Infrastructure),Y,PA,"5,600",1950,2017,Michael S. Castleman,AE Industrial Partners,n/a,n/a,Tier 2 - Investment Firm-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,11,Y,$840.0,2017,N,n/a,Acquired by AE Industrial Partners in 2017 for $157.5 M,http://www.cdicorp.com/,See LR Kimball,n/a,n/a,PrivCo (www.privco.com),https://www.prnewswire.com/news-releases/affiliates-of-ae-industrial-partners-successfully-complete-acquisition-of-cdi-corp-300519065.html
CDM Wireless,Y,NC,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.cdmwireless.com/,http://www.cdmwireless.com/industry-solutions/,n/a,n/a,n/a,n/a
CDS Monitoring ,Y,KY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Community Corrections,"Probation, Parole, & Other Supervision",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,n/a,https://www.hrw.org/report/2018/02/20/set-fail/impact-offender-funded-private-probation-poor,n/a,n/a,n/a,n/a
CDW,Y,IL,n/a,1984,n/a,Christine A. Leahy,n/a,n/a,CDW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,Y,n/a,11,Y,"$18,032.4",2019,N,n/a,Operates using CDW Government subsidiary ,https://www.cdw.com/,FL DOC Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a
Ceco Door,Y,TN,,1912,n/a,n/a,n/a,Assa Abloy,ASSA.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,11,Y,,,N,n/a,Acquisition history unknown,https://www.cecodoor.com/,https://www.cecodoor.com/en/site/cecodoor/products/standard-fire-doors/security-door-systems/,n/a,n/a,n/a,n/a
CEIA USA,Y,OH,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.ceia-usa.com/,FL DOC Spending,n/a,n/a,n/a,n/a
Celanese,Y,TX,"7,592",1918,n/a,Lori J. Ryerkerk,n/a,n/a,CE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,7,n/a,"$6,297.0",2019,N,n/a,n/a,https://www.celanese.com/,See SO.F.TER.,n/a,See corrections source,FactSet,http://www.softergroup.com/en/celanese_to_acquire_softer_group
Cell Command (formerly Try Safety First),Y,GA,,2007,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://cellcommand.tech/,See website,n/a,n/a,n/a,n/a
Cell Detect,Y,DE,,2018,n/a,Chris Defant,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,Y,n/a,"n/a,",n/a,,,Y,n/a,n/a,https://celldetect.com/,See website,n/a,n/a,n/a,https://www.accesswire.com/490267/Cell-Detect-Inc-Develops-Innovative-System-for-Detecting-Contraband-Cell-Phones-in-Prisons
Cell Staff,Y,FL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.cellstaff.com/,NYS DOCCS Spending,n/a,n/a,n/a,n/a
Cellblock Supply,Y,CA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,n/a,California Spending Data - 2018,n/a,n/a,n/a,n/a
Cellblox,N,AL,,n/a,2015,n/a,Platinum Equity,Aventiv Techologies/Securus Technologies,n/a,Tier 2 - Investment Firm-Owned,Telecom,Telecom Surveillance & Security,n/a,n/a,n/a,n/a,12,Y,,,Y,n/a,Acquired by Securus in 2015,n/a,See other source,n/a,n/a,n/a,https://www.prnewswire.com/news-releases/securus-technologies-purchases-cellblox--key-provider-of-technology-that-limits-contraband-wireless-use-in-prisons-and-jails-300020657.html
Cellebrite,Y,Israel,,2007,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.cellebrite.com/,See website,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,n/a,https://www.majorcitieschiefs.com/sponsors.php
Cellsecurity Limited,Y,UK,,1988,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.cellsecurity.co.uk,See website,n/a,n/a,n/a,n/a
Centene,Y,MO,"64,000",1984,n/a,Michael F. Neidorff,n/a,n/a,CNC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,Healthcare,Mental Health Services,n/a,n/a,13,Y,"$74,639.0",2019,N,n/a,"Engages through various specialty subsidiary, including Centurion, MHM, Health Net, and Acaria Health",https://www.centene.com/,https://www.centene.com/who-we-help/correctional-health.html,n/a,n/a,FactSet,https://www.buzzfeed.com/chrismcdaniel/missouri-executed-17-men-with-drugs-from-a-high-risk?utm_term=.gw2a6GwN8#.sdJQempj7
Centerbridge Partners,Y,NY,300,2005,n/a,Jeffrey H. Aronson,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,7,n/a,n/a,n/a,N,n/a,n/a,https://www.centerbridge.com/,See TriMark,n/a,n/a,n/a,"https://www.trimarkusa.com/news-room/news/centerbridge-partners,-l-p-to-acquire-trimark-usa"
CenterPoint Energy,Y,TX,"7,977",2002,n/a,John W. Somerhalder II,n/a,n/a,CNP,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,6,n/a,"$12,301.0",2019,N,n/a,n/a,http://www.centerpointenergy.com/en-us/,TDCJ Spending,n/a,n/a,FactSet,n/a
CentraCore Properties Trust (formerly Correctional Properties Trust),N,FL,5,1998,2007,n/a,n/a,"GEO Group, The",GEO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,Private Prison Operator,n/a,n/a,n/a,Y,15,Y,$28.1,2005,Y,n/a,Acquired by GEO in 2007 for $427.6 M; 2005 financials prior to acquisition,n/a,See other source,n/a,Adult private facility operator,https://www.sec.gov/Archives/edgar/data/1056218/000095014406002094/g00132e10vk.htm,https://www.businesswire.com/news/home/20070124005884/en/GEO-Group-Closes-Acquisition-CentraCore-Properties-Trust
Central Dakota Building Systems & Farm Supply,Y,ND,,1994,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,n/a,n/a,Y,"n/a,",n/a,,,N,n/a,n/a,n/a,https://www.roughriderindustries.com/partners-retailers.html,n/a,See corrections source,n/a,n/a
Central Disposal,Y,OK,,2007,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.centraldisposalok.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004003-T.pdf,n/a,n/a,n/a,n/a
Central Hudson Gas & Electric,Y,NY,992,1925,2012,n/a,n/a,Fortis,FTS,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,6,n/a,$671.5,2017,N,n/a,Acquired by Fortis as part of CH Energy for $1.5 B,https://www.cenhud.com/,NYS DOCCS Spending,n/a,n/a,http://www.chenergygroup.com/financialinformation/CHEnergyGroup_2017_Q4.pdf,https://www.businesswire.com/news/home/20120221005704/en/CH-Energy-Group-Acquired-Fortis-Agreement-Valued
Central Lake Armor Express (dba Armor Express),Y,MI,157,2005,2015,James R. Henderson ,Spanos Barber Jesse & Co,n/a,n/a,Tier 2 - Investment Firm-Owned,Equipment,Security Equipment,n/a,n/a,Y,n/a,13,Y,$32.0,2017,N,n/a,n/a,https://www.armorexpress.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),https://www.pehub.com/2015/07/sbj-buys-armor-express/
Central NY Cardiology,Y,NY,,1981,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://cnycardiology.com/,NYS DOCCS Spending,n/a,n/a,n/a,n/a
Central Oklahoma Telephone,Y,OK,45,1936,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,n/a,n/a,n/a,n/a,"n/a,",n/a,$14.0,2018,N,n/a,n/a,http://home.cotc.net/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003980-T.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Central PA Transport,Y,PA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.centralpatransport.com/,See website,n/a,n/a,n/a,n/a
Central Parking,Y,IL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Agency Transportation,n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,https://parkcentral.parking.com/,n/a,GovSpend,n/a,n/a,n/a
